#{"t_start": 1778803850.4670432, "env_id": "None"}
r,l,t
126.215788,1369,20169.096092
41.51265,650,20236.12383
70.340505,1500,20389.722235
45.796915,951,20487.228546
61.005303,1416,20631.730285
87.947094,1500,20785.466643
90.295269,1500,20938.440537
45.256974,225,20962.48899
62.486727,1500,21115.454811
122.270328,597,21177.818813
7.277897,61,21185.272984
127.099826,715,21258.884862
65.339461,394,21300.036249
64.636405,793,21381.532756
66.693329,466,21429.971147
54.753363,306,21462.233351
48.634157,326,21496.507001
103.501078,391,21537.331131
71.057217,465,21586.325984
48.509084,893,21677.890665
46.981719,1500,21831.163063
121.544772,811,21914.428581
179.791078,1122,22029.891005
11.164812,140,22045.320276
11.475436,143,22061.058546
24.094776,153,22077.80552
161.20955,1500,22230.792785
95.146784,980,22331.182774
27.455483,192,22350.688547
118.156761,764,22429.933683
44.010556,209,22452.360768
70.596771,411,22495.261487
84.344766,1500,22648.240748
30.770375,232,22673.001113
101.96169,488,22723.610416
30.590369,539,22779.378839
92.219651,1500,22933.023605
84.842727,1500,23085.944092
70.277971,1500,23238.910232
132.273603,801,23321.86975
121.715725,898,23414.026704
45.256373,224,23437.986039
25.750959,193,23458.792584
71.776223,770,23537.976378
43.866545,270,23566.568019
121.206809,691,23637.687686
49.853382,274,23666.679185
25.43526,174,23686.244031
115.802022,434,23731.391346
26.636019,164,23749.259833
80.294635,1500,23902.335894
30.251079,196,23923.44365
10.400053,149,23939.773023
94.374223,1500,24092.688321
129.491352,780,24173.521115
139.005913,1218,24297.930888
80.914093,516,24351.438115
125.737041,814,24435.007276
84.806441,1500,24588.640735
8.672817,133,24603.369079
207.248752,1500,24756.40899
90.675118,1218,24880.904444
114.454014,1017,24985.741624
44.449126,208,25008.072323
28.928843,181,25027.677578
-3.923573,53,25034.30443
118.246968,1031,25139.86293
139.515682,898,25231.96483
66.490581,319,25265.508477
44.128841,217,25288.766267
79.265866,1500,25441.407257
45.497948,226,25465.543267
9.972819,136,25480.568346
42.633004,215,25503.59157
45.000288,211,25526.216579
104.083543,527,25580.822542
-1.655767,312,25613.631459
16.210368,295,25644.748509
117.647013,857,25732.722296
52.200123,1500,25886.412224
23.381052,161,25904.011858
149.851691,1108,26017.343368
123.378985,740,26093.459757
56.154147,327,26127.833849
107.451059,722,26202.137254
36.559504,195,26223.823346
47.315746,368,26262.343416
30.330535,222,26286.119925
9.185833,141,26301.646756
84.206895,1101,26414.381071
55.890216,286,26444.615879
134.252828,855,26532.407927
105.386524,1132,26649.325705
52.512415,405,26691.579788
25.756852,172,26710.313693
108.800878,465,26758.723208
71.693034,779,26838.753135
23.925677,155,26855.742676
23.72506,181,26875.411452
126.277286,1483,27026.919454
9.63873,135,27041.865765
46.318759,253,27069.46422
25.78025,147,27085.628658
49.173977,258,27113.030906
47.363842,403,27155.125229
127.806137,733,27230.583107
62.465827,286,27260.840473
67.010907,1500,27413.97469
89.847209,763,27493.168988
47.290739,242,27518.957571
68.957204,369,27557.622121
12.418003,152,27574.289344
174.141541,1500,27727.3501
89.928231,522,27781.529018
69.986803,325,27815.733947
20.855834,138,27830.992965
59.707583,328,27865.4798
-0.598984,135,27880.418519
68.418033,349,27917.036081
74.873395,606,27980.332921
62.312616,363,28018.345988
79.391421,1500,28171.513573
131.001751,925,28266.414271
134.042499,851,28354.53503
115.220112,855,28442.37436
27.353278,156,28459.449413
23.338296,137,28474.62268
112.086367,525,28529.050472
29.205965,170,28547.542892
59.631063,418,28591.16176
85.996073,671,28660.375183
41.632694,271,28689.094761
48.836404,250,28715.703255
149.706652,766,28795.375017
118.102411,501,28847.390808
27.702467,200,28868.918976
74.583603,532,28924.080803
191.40907,1500,29077.184331
189.286331,1500,29231.10417
53.901259,560,29287.843915
27.170174,163,29305.639943
22.739706,1246,29433.076254
91.920596,1500,29586.192911
