#{"t_start": 1778746065.50545, "env_id": "None"}
r,l,t
120.725572,450,27121.379624
120.241766,448,27168.063195
118.212755,473,27217.257563
119.131388,448,27263.929774
118.257507,551,27321.93536
120.899134,451,27368.912516
119.128059,430,27413.779016
122.034934,453,27460.935395
121.506351,460,27508.75054
121.134329,443,27554.916845
121.125341,435,27600.280997
66.789583,515,27653.692267
119.827567,574,27713.86812
120.347964,433,27759.020035
122.501734,456,27806.459994
121.021739,466,27854.957805
122.271531,451,27901.935414
119.546564,441,27947.911868
121.307422,447,27994.504305
120.133595,448,28041.135856
121.797244,442,28087.18437
119.443951,454,28135.264251
66.228665,589,28196.176192
121.476164,441,28242.149899
120.938429,450,28289.005038
120.445904,438,28334.683363
121.293111,439,28380.461001
119.176499,607,28443.237333
119.725343,446,28489.679828
120.701203,440,28535.532501
119.719815,439,28581.991069
121.236621,459,28629.749225
119.688134,470,28678.631368
119.735151,444,28724.89662
121.702131,453,28772.047674
122.525333,454,28819.29602
119.78121,446,28865.749609
120.656101,434,28911.005294
120.591552,435,28956.356627
119.152331,429,29001.781933
120.678645,431,29046.674423
121.965683,451,29093.606272
120.567181,442,29139.661831
119.253471,429,29184.376042
122.3766,441,29230.303991
119.877978,442,29276.325848
119.893237,428,29320.924368
119.561761,425,29365.202837
120.497285,432,29411.012017
121.056419,443,29457.134016
120.343526,443,29503.309875
121.735368,446,29549.747756
120.88599,444,29595.97859
119.925788,447,29642.557023
119.99324,430,29687.394811
120.52554,444,29733.629747
121.687346,439,29779.342155
120.672652,432,29824.338298
118.412145,427,29869.613007
119.446904,429,29914.348052
120.894956,434,29959.529619
120.569169,436,30004.926447
120.470161,428,30049.57008
119.307804,436,30095.005652
121.610402,434,30140.242089
120.822872,438,30185.872291
121.088254,436,30231.286571
120.815263,443,30278.128604
119.877676,427,30322.677275
120.890992,444,30368.892493
120.909554,437,30414.435899
118.787107,420,30458.264256
-2.744691,47,30464.277884
121.086503,433,30509.363197
121.06507,426,30553.773563
120.884466,438,30599.385525
119.82057,426,30643.838038
122.33151,453,30691.728214
119.189501,429,30736.446008
121.780045,439,30782.201979
120.703683,435,30827.549377
121.946277,438,30873.175841
121.07154,450,30920.068453
120.410686,436,30965.508786
120.158253,440,31011.359364
121.280447,437,31056.887069
122.487189,434,31102.125144
